tube,V_ctl,R_DS,x,absVd,phase_Vd_deg,abs_n_diff,phase_n_diff_deg,demod_dc_mV
ILC1-1/7,-0.2362,179.84,0.11300,0.85697,-96.45,0.194426,-96.45,-13.8978
ILC1-1/7,-0.2400,180.38,0.11333,0.85949,-96.47,0.194997,-96.47,-13.9796
ILC1-1/7,-0.2437,180.91,0.11367,0.86202,-96.49,0.195572,-96.49,-14.0621
ILC1-1/7,-0.2475,181.46,0.11401,0.86457,-96.50,0.196150,-96.50,-14.1453
ILC1-1/7,-0.2512,182.00,0.11435,0.86713,-96.52,0.196731,-96.52,-14.2293
ILC1-1/7,-0.2550,182.55,0.11470,0.86971,-96.54,0.197316,-96.54,-14.3140
ILC1-1/7,-0.2587,183.10,0.11505,0.87230,-96.56,0.197904,-96.56,-14.3995
ILC1-1/7,-0.2625,183.65,0.11539,0.87491,-96.58,0.198496,-96.58,-14.4858
ILC1-1/7,-0.2662,184.21,0.11574,0.87753,-96.60,0.199092,-96.60,-14.5728
ILC1-1/7,-0.2700,184.77,0.11610,0.88017,-96.62,0.199690,-96.62,-14.6606
ILC1-1/7,-0.2737,185.34,0.11645,0.88283,-96.64,0.200293,-96.64,-14.7492
ILC1-1/7,-0.2775,185.91,0.11681,0.88550,-96.66,0.200899,-96.66,-14.8386
ILC1-1/7,-0.2812,186.48,0.11717,0.88819,-96.68,0.201509,-96.68,-14.9288
ILC1-1/7,-0.2850,187.06,0.11753,0.89089,-96.70,0.202122,-96.70,-15.0199
ILC1-1/7,-0.2888,187.63,0.11789,0.89361,-96.72,0.202740,-96.72,-15.1117
ILC1-1/7,-0.2925,188.22,0.11826,0.89635,-96.74,0.203361,-96.74,-15.2045
ILC1-1/7,-0.2963,188.80,0.11863,0.89910,-96.77,0.203985,-96.77,-15.2980
ILC1-1/7,-0.3000,189.39,0.11900,0.90187,-96.79,0.204614,-96.79,-15.3924
ILC1-1/7,-0.3038,189.99,0.11937,0.90466,-96.81,0.205246,-96.81,-15.4877
ILC1-1/7,-0.3075,190.59,0.11975,0.90747,-96.83,0.205883,-96.83,-15.5839
ILC1-1/7,-0.3113,191.19,0.12013,0.91029,-96.85,0.206523,-96.85,-15.6810
ILC1-1/7,-0.3150,191.79,0.12051,0.91313,-96.87,0.207167,-96.87,-15.7790
ILC1-1/7,-0.3187,192.40,0.12089,0.91598,-96.89,0.207815,-96.89,-15.8779
ILC1-1/7,-0.3225,193.01,0.12127,0.91886,-96.91,0.208468,-96.91,-15.9777
ILC1-1/7,-0.3262,193.63,0.12166,0.92175,-96.94,0.209124,-96.94,-16.0785
ILC1-1/7,-0.3300,194.25,0.12205,0.92466,-96.96,0.209784,-96.96,-16.1802
ILC1-1/7,-0.3337,194.87,0.12244,0.92759,-96.98,0.210449,-96.98,-16.2829
ILC1-1/7,-0.3375,195.50,0.12284,0.93054,-97.00,0.211118,-97.00,-16.3865
ILC1-1/7,-0.3412,196.14,0.12324,0.93351,-97.03,0.211791,-97.03,-16.4912
ILC1-1/7,-0.3450,196.77,0.12364,0.93649,-97.05,0.212468,-97.05,-16.5968
ILC1-1/7,-0.3488,197.41,0.12404,0.93950,-97.07,0.213150,-97.07,-16.7035
ILC1-1/7,-0.3525,198.06,0.12444,0.94252,-97.09,0.213836,-97.09,-16.8112
ILC1-1/7,-0.3563,198.71,0.12485,0.94556,-97.12,0.214526,-97.12,-16.9199
ILC1-1/7,-0.3600,199.36,0.12526,0.94863,-97.14,0.215221,-97.14,-17.0297
ILC1-1/7,-0.3638,200.02,0.12568,0.95171,-97.16,0.215920,-97.16,-17.1405
ILC1-1/7,-0.3675,200.68,0.12609,0.95481,-97.19,0.216624,-97.19,-17.2524
ILC1-1/7,-0.3713,201.35,0.12651,0.95793,-97.21,0.217332,-97.21,-17.3654
ILC1-1/7,-0.3750,202.02,0.12693,0.96107,-97.23,0.218045,-97.23,-17.4796
ILC1-1/7,-0.3787,202.70,0.12736,0.96424,-97.26,0.218763,-97.26,-17.5948
ILC1-1/7,-0.3825,203.38,0.12778,0.96742,-97.28,0.219485,-97.28,-17.7112
ILC1-1/7,-0.3862,204.06,0.12822,0.97063,-97.31,0.220212,-97.31,-17.8287
ILC1-1/7,-0.3900,204.75,0.12865,0.97385,-97.33,0.220944,-97.33,-17.9474
ILC1-1/7,-0.3937,205.44,0.12908,0.97710,-97.36,0.221681,-97.36,-18.0673
ILC1-1/7,-0.3975,206.14,0.12952,0.98037,-97.38,0.222422,-97.38,-18.1884
ILC1-1/7,-0.4012,206.85,0.12997,0.98366,-97.40,0.223169,-97.40,-18.3107
ILC1-1/7,-0.4050,207.56,0.13041,0.98697,-97.43,0.223920,-97.43,-18.4342
ILC1-1/7,-0.4088,208.27,0.13086,0.99031,-97.46,0.224677,-97.46,-18.5590
ILC1-1/7,-0.4125,208.99,0.13131,0.99366,-97.48,0.225439,-97.48,-18.6850
ILC1-1/7,-0.4163,209.71,0.13176,0.99704,-97.51,0.226205,-97.51,-18.8124
ILC1-1/7,-0.4200,210.44,0.13222,1.00044,-97.53,0.226977,-97.53,-18.9410
ILC1-1/7,-0.4238,211.17,0.13268,1.00387,-97.56,0.227755,-97.56,-19.0709
ILC1-1/7,-0.4275,211.91,0.13315,1.00732,-97.58,0.228537,-97.58,-19.2022
ILC1-1/7,-0.4313,212.65,0.13361,1.01079,-97.61,0.229325,-97.61,-19.3348
ILC1-1/7,-0.4350,213.40,0.13408,1.01429,-97.64,0.230118,-97.64,-19.4688
ILC1-1/7,-0.4387,214.16,0.13456,1.01781,-97.66,0.230917,-97.66,-19.6042
ILC1-1/7,-0.4425,214.92,0.13504,1.02135,-97.69,0.231721,-97.69,-19.7410
ILC1-1/7,-0.4462,215.68,0.13552,1.02492,-97.72,0.232531,-97.72,-19.8792
